movie_id,director_id,name
19995,2710,James Cameron
285,1704,Gore Verbinski
206647,39,Sam Mendes
49026,525,Christopher Nolan
49529,7,Andrew Stanton
559,7623,Sam Raimi
38757,76595,Byron Howard
99861,12891,Joss Whedon
767,11343,David Yates
209112,15217,Zack Snyder
1452,9032,Bryan Singer
10764,12995,Marc Forster
58,1704,Gore Verbinski
57201,1704,Gore Verbinski
49521,15217,Zack Snyder
2454,5524,Andrew Adamson
24428,12891,Joss Whedon
1865,17633,Rob Marshall
41154,5174,Barry Sonnenfeld
122917,108,Peter Jackson
1930,87742,Marc Webb
20662,578,Ridley Scott
57158,108,Peter Jackson
2268,3288,Chris Weitz
254,108,Peter Jackson
597,2710,James Cameron
271110,19271,Anthony Russo
44833,36602,Peter Berg
135397,930707,Colin Trevorrow
37724,39,Sam Mendes
558,7623,Sam Raimi
68721,1108,Shane Black
12155,510,Tim Burton
36668,11091,Brett Ratner
62211,225976,Dan Scanlon
8373,865,Michael Bay
91314,865,Michael Bay
68728,7623,Sam Raimi
102382,87742,Marc Webb
20526,86270,Joseph Kosinski
49013,7879,John Lasseter
44912,10702,Martin Campbell
10193,8,Lee Unkrich
534,36425,McG
168259,2127,James Wan
72190,12995,Marc Forster
127585,9032,Bryan Singer
54138,15344,J.J. Abrams
81005,9032,Bryan Singer
64682,6201,Baz Luhrmann
9543,10723,Mike Newell
68726,10828,Guillermo del Toro
38356,865,Michael Bay
217,488,Steven Spielberg
105864,21198,Peter Sohn
62177,59803,Brenda Chapman
188927,58189,Justin Lin
10681,7,Andrew Stanton
5174,11091,Brett Ratner
14161,6046,Roland Emmerich
17979,24,Robert Zemeckis
76757,9339,Lilly Wachowski
258489,11343,David Yates
411,5524,Andrew Adamson
246655,9032,Bryan Singer
155,525,Christopher Nolan
14160,12890,Pete Docter
15512,12080,Conrad Vernon
1726,15277,Jon Favreau
44826,1032,Martin Scorsese
8487,5174,Barry Sonnenfeld
1735,18878,Rob Cohen
297761,19769,David Ayer
2698,4499,Tom Shadyac
137113,11694,Doug Liman
9804,8300,Kevin Reynolds
14869,7775,Stephen Sommers
150540,12890,Pete Docter
278927,15277,Jon Favreau
10138,15277,Jon Favreau
58595,228134,Rupert Sanders
102651,1032536,Robert Stromberg
119450,32278,Matt Reeves
79698,8965,Roland Joffé
64686,239571,Carl Rinsch
100402,19271,Anthony Russo
10192,64151,Mike Mitchell
158852,7087,Brad Bird
177572,70238,Chris Williams
82690,165787,Rich Moore
5255,24,Robert Zemeckis
47933,6046,Roland Emmerich
10191,66193,Chris Sanders
296,7213,Jonathan Mostow
118340,15218,James Gunn
157336,525,Christopher Nolan
27205,525,Christopher Nolan
315011,77921,Hideaki Anno
49051,108,Peter Jackson
9799,18878,Rob Cohen
4922,7467,David Fincher
49538,957,Matthew Vaughn
131634,10943,Francis Lawrence
27022,12962,Jon Turteltaub
503,5231,Wolfgang Petersen
241259,26205,James Bobin
810,12098,Chris Miller
68735,81850,Duncan Jones
87101,47005,Alan Taylor
10140,10781,Michael Apted
676,865,Michael Bay
1858,865,Michael Bay
1966,1152,Oliver Stone
675,11343,David Yates
674,10723,Mike Newell
8960,36602,Peter Berg
6479,10943,Francis Lawrence
118,510,Tim Burton
2062,7930,Jan Pinkava
272,525,Christopher Nolan
10527,18863,Eric Darnell
18360,17825,Shawn Levy
2080,13079,Gavin Hood
605,9339,Lilly Wachowski
109445,15774,Chris Buck
604,9339,Lilly Wachowski
76338,47005,Alan Taylor
76341,20629,George Miller
13448,6159,Ron Howard
10195,11181,Kenneth Branagh
13053,70238,Chris Williams
19585,84851,Hoyt Yeatman
57165,66739,Jonathan Liebesman
62213,510,Tim Burton
177677,9033,Christopher McQuarrie
7978,4945,Joe Johnston
5559,44113,Steve Hickner
49444,142312,Jennifer Yuh Nelson
10196,11614,M. Night Shyamalan
956,15344,J.J. Abrams
117251,6046,Roland Emmerich
50321,21879,Simon Wells
11619,33183,David Bowers
266647,36588,Joe Wright
82703,18898,Rob Minkoff
652,5231,Wolfgang Petersen
80321,12080,Conrad Vernon
36669,7256,Lee Tamahori
43074,116805,Paul Feig
95,865,Michael Bay
608,5174,Barry Sonnenfeld
2310,24,Robert Zemeckis
140300,142312,Jennifer Yuh Nelson
56292,7087,Brad Bird
81188,151007,Peter Ramsey
7552,15002,Dean Parisot
616,9181,Edward Zwick
147441,578,Ridley Scott
13475,15344,J.J. Abrams
557,7623,Sam Raimi
82702,69797,Dean DeBlois
205584,21085,Alex Proyas
10048,18878,Rob Cohen
13183,15217,Zack Snyder
944,7187,Richard Donner
1927,1614,Ang Lee
72559,54507,Jon M. Chu
7364,52609,Breck Eisner
2114,21692,Hironobu Sakaguchi
1771,4945,Joe Johnston
36643,10781,Michael Apted
8619,2690,Peter Weir
50620,15557,Bill Condon
65759,20629,George Miller
1724,18865,Louis Leterrier
267935,488,Steven Spielberg
281957,223,Alejandro González Iñárritu
77950,94075,David Soren
44896,1704,Gore Verbinski
270946,18863,Eric Darnell
2503,25598,Paul Greengrass
9502,57741,Mark Osborne
102899,59026,Peyton Reed
101299,10943,Francis Lawrence
228161,52870,Tim Johnson
74,488,Steven Spielberg
8961,865,Michael Bay
417859,12098,Chris Miller
27576,13015,Phillip Noyce
86834,6431,Darren Aronofsky
17578,488,Steven Spielberg
673,11218,Alfonso Cuarón
6972,6201,Baz Luhrmann
82700,11614,M. Night Shyamalan
10567,65855,Ralph Zondag
181533,17825,Shawn Levy
38055,18864,Tom McGrath
671,10965,Chris Columbus
49524,57270,Robert Schwentke
22,1704,Gore Verbinski
131631,10943,Francis Lawrence
591,6159,Ron Howard
172385,5714,Carlos Saldanha
36658,9032,Bryan Singer
51497,58189,Justin Lin
58574,956,Guy Ritchie
18823,18865,Louis Leterrier
861,10491,Paul Verhoeven
1911,1090,John McTiernan
49040,19242,Tony Gilroy
415,5572,Joel Schumacher
8871,6159,Ron Howard
435,6046,Roland Emmerich
955,11401,John Woo
2133,5231,Wolfgang Petersen
1979,20400,Tim Story
87827,1614,Ang Lee
1250,16837,Mark Steven Johnson
324668,25598,Paul Greengrass
9471,36425,McG
70981,578,Ridley Scott
10996,18898,Rob Minkoff
68724,82194,Neill Blomkamp
2789,28239,David Twohy
97020,52576,José Padilha
7459,9339,Lilly Wachowski
42888,3388,James L. Brooks
37834,366,James Mangold
75612,86270,Joseph Kosinski
1895,1,George Lucas
1894,1,George Lucas
585,12890,Pete Docter
76170,366,James Mangold
1893,1,George Lucas
49519,66193,Chris Sanders
2395,20674,Thomas Langmann
12100,11401,John Woo
290595,1454884,Cedric Nicolas-Troyan
98566,66739,Jonathan Liebesman
49047,11218,Alfonso Cuarón
9619,21370,Roger Donaldson
308531,1101410,Dave Green
166424,934803,Josh Trank
1593,17825,Shawn Levy
254128,132876,Brad Peyton
714,1724,Roger Spottiswoode
2024,6046,Roland Emmerich
163,1884,Steven Soderbergh
787,11694,Doug Liman
262500,57270,Robert Schwentke
2567,1032,Martin Scorsese
38745,65630,Rob Letterman
40805,201,Michel Gondry
53182,78914,Noam Murro
41513,1215,Raja Gosnell
13700,70287,Will Finn
262504,57270,Robert Schwentke
39254,17825,Shawn Levy
77931,1215,Raja Gosnell
1639,2209,Jan de Bont
80274,13079,Gavin Hood
1571,3950,Len Wiseman
120,108,Peter Jackson
10204,57370,Frank Coraci
8489,638,Michael Mann
10588,5133,Bo Welch
2048,21085,Alex Proyas
1495,578,Ridley Scott
10137,18898,Rob Minkoff
10198,15810,Ron Clements
286217,578,Ridley Scott
1635,865,Michael Bay
24113,36804,Peter Chelsom
9679,58498,Dominic Sena
98,578,Ridley Scott
180,488,Steven Spielberg
672,10965,Chris Columbus
36557,10702,Martin Campbell
869,510,Tim Burton
280,2710,James Cameron
11322,638,Michael Mann
4982,578,Ridley Scott
36955,2710,James Cameron
18487,893,Tony Scott
39451,3289,Paul Weitz
27581,55710,Adam McKay
9268,26713,Chuck Russell
68718,138,Quentin Tarantino
10545,62047,Gary Trousdale
11688,61411,Mark Dindal
76163,12786,Simon West
2059,12962,Jon Turteltaub
2486,25453,Stefen Fangmeier
16523,5953,Spike Jonze
116711,5713,Chris Wedge
37710,8193,Florian Henckel von Donnersmarck
9946,37710,Peter Hyams
1372,9181,Edward Zwick
106646,1032,Martin Scorsese
414,5572,Joel Schumacher
563,10491,Paul Verhoeven
83542,1071,Tom Tykwer
41216,15217,Zack Snyder
314,4586,Pitof
184315,11091,Brett Ratner
9016,15810,Ron Clements
18162,11887,Brad Silberling
138103,143059,Patrick Hughes
257088,21673,Ericson Core
10214,64191,Lawrence Guterman
205775,6159,Ron Howard
11692,33485,Ron Underwood
22972,25598,Paul Greengrass
227973,71729,Steve Martino
29193,1255,David Mamet
1734,7775,Stephen Sommers
3131,1032,Martin Scorsese
76758,607,Zhang Yimou
9408,12905,Ash Brannon
9890,7908,Frank Oz
855,578,Ridley Scott
77953,6737,Jay Roach
18,59,Luc Besson
37786,38023,Michael Patrick King
10501,27005,Don Michael Paul
57800,71729,Steve Martino
150689,11181,Kenneth Branagh
7980,108,Peter Jackson
12,7,Andrew Stanton
122,108,Peter Jackson
121,108,Peter Jackson
68737,130938,Sergei Bodrov
1995,12786,Simon West
157353,559,Wally Pfister
331,4945,Joe Johnston
61791,77357,Rupert Wyatt
8204,54050,Mark Waters
47964,12028,John Moore
10733,54040,John Lee Hancock
9806,7087,Brad Bird
1408,16938,Renny Harlin
32657,10965,Chris Columbus
607,5174,Barry Sonnenfeld
863,7879,John Lasseter
44048,893,Tony Scott
5175,11091,Brett Ratner
2655,24,Robert Zemeckis
22794,107446,Phil Lord
8355,5714,Carlos Saldanha
116745,7399,Ben Stiller
4327,36425,McG
1422,1032,Martin Scorsese
10674,66190,Tony Bancroft
7446,7399,Ben Stiller
65754,7467,David Fincher
1572,1090,John McTiernan
10528,956,Guy Ritchie
271969,23430,Timur Bekmambetov
10865,62047,Gary Trousdale
258509,68573,Walt Becker
2253,9032,Bryan Singer
10661,17494,Dennis Dugan
257344,10965,Chris Columbus
644,488,Steven Spielberg
10756,18898,Rob Minkoff
686,24,Robert Zemeckis
9383,10491,Paul Verhoeven
179,2226,Sydney Pollack
76285,109857,Thor Freudenthal
1996,2209,Jan de Bont
291805,54507,Jon M. Chu
10003,13015,Phillip Noyce
1535,893,Tony Scott
2067,1150,Brian De Palma
46195,5714,Carlos Saldanha
2277,10965,Chris Columbus
10357,8843,Mick Jackson
4477,6349,Alan J. Pakula
8665,14392,Kathryn Bigelow
9387,8328,John Milius
921,6159,Ron Howard
49852,58728,Andrei Konchalovsky
4464,23964,Gary Ross
664,2209,Jan de Bont
8358,24,Robert Zemeckis
9836,20629,George Miller
2502,25598,Paul Greengrass
9772,5231,Wolfgang Petersen
161,1884,Steven Soderbergh
52451,4014,Paul W.S. Anderson
76492,185438,Genndy Tartakovsky
4523,15775,Kevin Lima
59961,125738,Daniel Espinosa
10481,15775,Kevin Lima
59108,11091,Brett Ratner
1581,17698,Nancy Meyers
9798,893,Tony Scott
22897,17698,Nancy Meyers
298,1884,Steven Soderbergh
7484,7881,Jill Culton
157350,17329,Neil Burger
853,2352,Jean-Jacques Annaud
10159,36602,Peter Berg
9593,1090,John McTiernan
1904,17633,Rob Marshall
9615,58189,Justin Lin
51052,66191,Barry Cook
297,769,Martin Brest
9884,12989,Andrew Davis
16858,66777,Bob Fosse
62764,56512,Tarsem Singh
22538,11090,Edgar Wright
9341,15148,Jon Amiel
12107,13426,Peter Segal
9637,1215,Raja Gosnell
49049,43141,Pete Travis
9339,57370,Frank Coraci
16281,14999,George A. Romero
39691,132876,Brad Peyton
8247,11694,Doug Liman
11253,10828,Guillermo del Toro
1949,7467,David Fincher
8452,1724,Roger Spottiswoode
310,4499,Tom Shadyac
27578,16483,Sylvester Stallone
954,1150,Brian De Palma
70160,23964,Gary Ross
45243,57130,Todd Phillips
364,510,Tim Burton
7518,52845,Karey Kirkpatrick
11544,66193,Chris Sanders
9986,17046,Gary Winick
8656,51984,Mimi Leder
146216,15002,Dean Parisot
9291,13426,Peter Segal
55301,64151,Mike Mitchell
109418,17494,Dennis Dugan
11665,13426,Peter Segal
6964,17698,Nancy Meyers
11324,1032,Martin Scorsese
12193,71600,Seth Gordon
9928,5713,Chris Wedge
754,11401,John Woo
10202,20739,Adam Shankman
4147,39,Sam Mendes
50546,17494,Dennis Dugan
1701,12786,Simon West
13027,40256,D.J. Caruso
2289,2239,Anthony Minghella
20504,11447,Albert Hughes
9574,56911,Les Mayfield
11618,2209,Jan de Bont
2300,23677,Joe Pytka
12096,17825,Shawn Levy
10200,55499,Scott Derrickson
8834,7187,Richard Donner
228150,19769,David Ayer
6068,8858,Ivan Reitman
41515,9622,Eric Brevig
9023,12079,Kelly Asbury
38317,57370,Frank Coraci
2157,2042,Stephen Hopkins
14462,16294,Jonathan Demme
161795,117075,Henry Jaglom
159824,185438,Genndy Tartakovsky
49948,5690,James Algar
2135,21879,Simon Wells
9822,33485,Ron Underwood
9705,58498,Dominic Sena
1656,10702,Martin Campbell
12159,9198,Vincent Ward
9678,32593,Steven Brill
4442,280,Terry Gilliam
75,510,Tim Burton
330770,17627,Lucile Hadzihalilovic
9433,7256,Lee Tamahori
19959,7213,Jonathan Mostow
11973,21370,Roger Donaldson
11228,18878,Rob Cohen
77951,66191,Barry Cook
5491,5058,Roger Christian
10715,4600,Joe Dante
10197,17633,Rob Marshall
9562,7187,Richard Donner
9922,1269,Kevin Costner
9447,20629,George Miller
274854,52609,Breck Eisner
8870,56154,Antony Hoffman
9992,59,Luc Besson
36970,20030,Jacques Perrin
10077,37710,Peter Hyams
76649,4014,Paul W.S. Anderson
293644,1172908,Andrés Couturier
453,6159,Ron Howard
8587,15812,Roger Allers
72545,132876,Brad Peyton
109451,12095,Cody Cameron
9533,11091,Brett Ratner
2023,4945,Joe Johnston
71880,17494,Dennis Dugan
584,6482,John Singleton
309809,57741,Mark Osborne
4858,7832,Oliver Hirschbiegel
17711,588701,Des McAnuff
328111,124748,Chris Renaud
8698,10808,Stephen Norrington
93456,124747,Pierre Coffin
602,6046,Roland Emmerich
330,488,Steven Spielberg
953,18863,Eric Darnell
9693,11218,Alfonso Cuarón
36657,9032,Bryan Singer
8909,23430,Timur Bekmambetov
9802,865,Michael Bay
950,5714,Carlos Saldanha
1824,13426,Peter Segal
2976,20739,Adam Shankman
11026,16938,Renny Harlin
332,4759,David Kellogg
75656,18865,Louis Leterrier
38365,17494,Dennis Dugan
594,488,Steven Spielberg
15189,109857,Thor Freudenthal
11678,10702,Martin Campbell
6538,5342,Mike Nichols
10555,12058,Vicky Jenson
1125,15557,Bill Condon
4551,37932,F. Gary Gray
612,488,Steven Spielberg
9567,20907,Antoine Fuqua
37821,36797,Robert Luketic
203801,956,Guy Ritchie
2539,3388,James L. Brooks
9297,57193,Gil Kenan
3172,8246,Barry Levinson
